"t"	"r"
0.48859	0.00000
1.11393	95.94100
0.85863	30.37300
0.83309	55.63600
0.88969	116.31450
0.62264	4.55600
0.57837	40.25833
0.59868	19.28150
0.60781	101.37200
0.82003	28.37700
0.94933	93.03900
0.49691	6.94733
1.10639	97.93767
0.59861	46.72200
0.64508	110.80700
1.10316	96.88480
0.72070	4.02929
0.59810	37.27150
0.64954	29.28633
1.08082	94.45800
0.60753	106.97000
0.60753	89.49700
0.63905	22.81300
1.04425	96.46372
0.63660	2.97150
1.12816	99.51300
0.60595	103.91200
0.64451	27.84600
0.60652	102.42900
0.82147	3.52950
0.54814	7.49333
0.45412	5.88100
0.84882	56.15650
0.59803	30.81000
0.90758	91.97800
0.89794	97.46900
0.77666	27.37333
0.89646	29.45300
0.48639	6.47050
1.04169	94.98100
0.93033	98.45200
0.96172	93.47500
0.62106	28.80800
0.54853	7.91967
0.63602	2.41800
0.90887	93.93800
0.94319	95.48800
0.64496	31.35600
0.60724	99.41900
0.92593	100.99500
1.08121	96.99911
0.94041	99.96500
0.83818	29.29933
0.79471	29.88900
0.98325	96.34500
0.59825	56.16750
1.08500	97.41880
0.59674	37.70500
1.07459	94.02100
0.82200	3.38820
1.00787	96.87029
0.89888	27.84600
0.92601	102.44600
0.79854	28.77200
0.95228	96.42444
0.60552	3.92067
1.11029	96.46838
1.00147	95.98433
0.81965	4.04033
0.89683	28.34762
0.76248	29.45300
0.73380	4.45400
0.92557	97.90900
0.59817	55.63600
0.79226	27.85775
0.80342	3.91567
0.91773	29.74000
0.80104	30.76400
0.63633	2.57400
1.07412	96.34500
1.06038	98.42850
0.59713	4.04025
0.96268	96.48867
1.07843	95.48800
0.96602	96.98600
0.91751	28.86000
0.45459	6.02100
0.69589	3.92325
0.75903	28.92200
0.98072	94.45800
